,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
35,ID36n_estimators5_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_20.0,5,20.0,-0.0016571944639774295,2.1333504566302586,1.4599906639809748,0.0008044471773285053,0.1239879925916556,0.04216298991594075,0.0,3.172355217402219
4,ID5max_alpha5_window_size10.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=5_window_size_10.0,5,10.0,-0.0020971408953471826,2.129844547480423,1.4588338114275596,0.011921627502291324,0.11802370625538378,0.040601208309142205,0.0,3.2577219483995576
16,ID17max_alpha20_window_size10.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=20_window_size_10.0,20,10.0,-0.0027208326300454553,2.130794145315058,1.4588763522294876,0.008802881554629079,0.1444847284889327,0.04973865921637147,0.0,3.3039785356028006
29,ID30n_estimators25_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_20.0,25,20.0,-0.003747278764177686,2.13385631441976,1.4601791969647522,0.0033745358433864975,0.12148635432407806,0.04162964293783898,0.0,3.1299179966008523
4,ID5n_estimators300_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=300_window_size_10.0,300,10.0,-0.004320413295927828,2.1368790502193575,1.4613766919775357,0.005906124869520548,0.10325846751183754,0.03545721878760339,0.0,3.2269029453978875
11,ID12max_alpha10_window_size20.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=10_window_size_20.0,10,20.0,-0.005105519852740059,2.1367618034527367,1.4615184253955946,0.002855188822038842,0.07833458693219163,0.02693873942705932,0.0,3.207946345000528
16,ID17n_estimators100_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=100_window_size_10.0,100,10.0,-0.006240291507200735,2.141243065671111,1.4630485096702437,0.012379875465979972,0.0782388195919757,0.027057790426970114,0.0,3.2547358401992823
11,ID12n_estimators200_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=200_window_size_20.0,200,20.0,-0.006832418562070286,2.1388920433618708,1.4624505751642798,0.006860994941781466,0.033515839612423694,0.011417467474784579,0.0,3.1426069968001684
17,ID18n_estimators100_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=100_window_size_20.0,100,20.0,-0.007512578314799301,2.1381411392644045,1.460538997952121,0.007048597616069327,0.2029180081910034,0.07047676727418206,0.0,3.1694778656004927
22,ID23n_estimators50_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_10.0,50,10.0,-0.007525119791193103,2.1396444812608326,1.462567199532589,0.009554015928153234,0.06852490147682981,0.023273764461991225,0.0,3.2066208199976245
28,ID29n_estimators25_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_10.0,25,10.0,-0.008965825800450378,2.1396891350755007,1.4608168863159263,0.015604088583594446,0.21757579591990292,0.07551926727493151,0.0,3.1773529803962446
5,ID6n_estimators300_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=300_window_size_20.0,300,20.0,-0.009268995376235933,2.1406064824353876,1.4615632497065998,0.007574832256641713,0.19440789907195277,0.06662844394454541,0.0,3.155018642000505
10,ID11n_estimators200_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=200_window_size_10.0,200,10.0,-0.009840497568335582,2.1495358081043037,1.4653160553332347,0.011241114634826934,0.14370385157904708,0.04883304298272441,0.0,3.234377577196574
