,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
29,ID30n_estimators25_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_20.0,25,20.0,0.6883449410263556,0.007860541642385767,0.08788814285162028,0.10371237533816528,0.001988725159618753,0.01167116054550505,0.0,5.376539946000048
8,ID9n_estimators200_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_2.0,200,2.0,0.6875370805982348,0.008204287149761083,0.08973427488112319,0.06636878856394247,0.0020788488064130985,0.012330736446786426,0.0,11.404079413600083
2,ID3n_estimators300_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_2.0,300,2.0,0.6863768793051529,0.008152761751653356,0.08942578874024755,0.07963979011925061,0.0021748290036683504,0.01248158883467845,0.0,15.23371037980014
7,ID8n_estimators200_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_1.0,200,1.0,0.685468162362562,0.008255185793252268,0.08956385720862663,0.09236705670224553,0.002710117078906471,0.01528074851455279,0.0,11.538497831599852
3,ID4n_estimators50_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_0.3,50,0.3,0.68358696422151,0.008349566314051936,0.09033450556282074,0.07776984256417865,0.002507472483151343,0.013756577291341136,0.0,6.251388813000039
15,ID16n_estimators100_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_5.0,100,5.0,0.680457613332256,0.00825076015061892,0.09059207025239223,0.05083775988321072,0.0012168290749079286,0.0066209484218310855,0.0,7.821175959399989
3,ID4n_estimators300_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_5.0,300,5.0,0.6801350746385845,0.00818800076817169,0.09040081934403847,0.05844023583059035,0.0007311133296780452,0.0039613924443571424,0.0,15.357240334800007
24,ID25n_estimators25_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_0.5,25,0.5,0.6788501821618353,0.008446580191590159,0.09086407095719022,0.07661817130852944,0.0023176806237334316,0.013794955624316424,0.0,5.474145402599788
30,ID31n_estimators5_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_0.5,5,0.5,0.6778805071017349,0.008311076252911992,0.09097091947322919,0.05370521278728139,0.0010783088915004417,0.005947105439391701,0.0,4.571604116999697
0,ID1n_estimators300_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_0.3,300,0.3,0.6769036290674816,0.00848445388805059,0.09061641990890494,0.10282502162650116,0.0029868793590372726,0.016526292111166553,0.0,15.43376179540005
9,ID10n_estimators200_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_5.0,200,5.0,0.6758611881233856,0.00841687936216618,0.09068514192333146,0.09183726957320934,0.0023964307702408157,0.013895481154368446,0.0,11.483369750400016
20,ID21n_estimators50_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_2.0,50,2.0,0.6752306530912459,0.008310326852371328,0.09073100898240408,0.05898334075904244,0.0016471074354399706,0.008843690485664803,0.0,6.26687541120009
