,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
68,SimAnnealingMulti(370),18,144,476,6.681596709036519,0.0,6.513120029334594,0.18891123414183925,10,"{'hypervolume': np.float64(6.513120029334594), 'igd': np.float64(0.18891123414183925)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3333333333333333
69,SimAnnealingMulti(410),18,148,476,6.681596709036519,0.0,6.514541620483598,0.16009943973092663,14,"{'hypervolume': np.float64(6.514541620483598), 'igd': np.float64(0.16009943973092663)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3888888888888889
70,SimAnnealingMulti(450),18,163,476,6.681596709036519,0.0,6.544852615894927,0.0656214145820006,16,"{'hypervolume': np.float64(6.544852615894927), 'igd': np.float64(0.0656214145820006)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5
71,SimAnnealingMulti(490),18,171,476,6.681596709036519,0.0,6.504204849731169,0.16709733822889447,13,"{'hypervolume': np.float64(6.504204849731169), 'igd': np.float64(0.16709733822889447)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.4444444444444444
72,SimAnnealingMulti(530),18,179,476,6.681596709036519,0.0,6.629332284851227,0.19310995093295397,10,"{'hypervolume': np.float64(6.629332284851227), 'igd': np.float64(0.19310995093295397)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5
73,SimAnnealingMulti(570),18,192,476,6.681596709036519,0.0,6.624610085052507,0.16713922802776082,14,"{'hypervolume': np.float64(6.624610085052507), 'igd': np.float64(0.16713922802776082)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5555555555555556
74,SimAnnealingMulti(610),18,185,476,6.681596709036519,0.0,6.634374229886826,0.14055296748756918,15,"{'hypervolume': np.float64(6.634374229886826), 'igd': np.float64(0.14055296748756918)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
75,SimAnnealingMulti(650),18,208,476,6.681596709036519,0.0,6.626039957202536,0.06105773402754744,12,"{'hypervolume': np.float64(6.626039957202536), 'igd': np.float64(0.06105773402754744)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.4444444444444444
76,SimAnnealingMulti(690),18,216,476,6.681596709036519,0.0,6.52989254260995,0.10201297958889592,15,"{'hypervolume': np.float64(6.52989254260995), 'igd': np.float64(0.10201297958889592)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
77,SimAnnealingMulti(730),18,227,476,6.681596709036519,0.0,6.590272119525187,0.046159112717266824,16,"{'hypervolume': np.float64(6.590272119525187), 'igd': np.float64(0.046159112717266824)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
78,SimAnnealingMulti(770),18,225,476,6.681596709036519,0.0,6.598111099726355,0.06134570862493591,18,"{'hypervolume': np.float64(6.598111099726355), 'igd': np.float64(0.06134570862493591)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
79,SimAnnealingMulti(810),18,234,476,6.681596709036519,0.0,6.637037640674247,0.04275920018450306,14,"{'hypervolume': np.float64(6.637037640674247), 'igd': np.float64(0.04275920018450306)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
80,SimAnnealingMulti(850),18,239,476,6.681596709036519,0.0,6.646850805607059,0.03190444194359197,13,"{'hypervolume': np.float64(6.646850805607059), 'igd': np.float64(0.03190444194359197)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
81,SimAnnealingMulti(890),18,237,476,6.681596709036519,0.0,6.617011323538433,0.18012865898582972,11,"{'hypervolume': np.float64(6.617011323538433), 'igd': np.float64(0.18012865898582972)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3888888888888889
82,SimAnnealingMulti(930),18,248,476,6.681596709036519,0.0,6.553514896728145,0.1130827643539993,16,"{'hypervolume': np.float64(6.553514896728145), 'igd': np.float64(0.1130827643539993)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
83,SimAnnealingMulti(970),18,228,476,6.681596709036519,0.0,6.631243646818563,0.15847147217802346,13,"{'hypervolume': np.float64(6.631243646818563), 'igd': np.float64(0.15847147217802346)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
84,SimAnnealingMulti(1010),18,275,476,6.681596709036519,0.0,6.678897403614652,0.020070360069556096,16,"{'hypervolume': np.float64(6.678897403614652), 'igd': np.float64(0.020070360069556096)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8888888888888888
85,SimAnnealingMulti(1050),18,252,476,6.681596709036519,0.0,6.645484860434771,0.038848240463312304,14,"{'hypervolume': np.float64(6.645484860434771), 'igd': np.float64(0.038848240463312304)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7222222222222222
86,SimAnnealingMulti(1090),18,289,476,6.681596709036519,0.0,6.676829062216916,0.0278645630180732,16,"{'hypervolume': np.float64(6.676829062216916), 'igd': np.float64(0.0278645630180732)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8888888888888888
87,SimAnnealingMulti(1130),18,274,476,6.681596709036519,0.0,6.634232359399444,0.05711012991801075,12,"{'hypervolume': np.float64(6.634232359399444), 'igd': np.float64(0.05711012991801075)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
88,SimAnnealingMulti(1170),18,297,476,6.681596709036519,0.0,6.598951272822623,0.0398428054022996,17,"{'hypervolume': np.float64(6.598951272822623), 'igd': np.float64(0.0398428054022996)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
89,SimAnnealingMulti(1210),18,298,476,6.681596709036519,0.0,6.580909921386137,0.02771041629817811,20,"{'hypervolume': np.float64(6.580909921386137), 'igd': np.float64(0.02771041629817811)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
90,SimAnnealingMulti(1250),18,300,476,6.681596709036519,0.0,6.613535653875299,0.030545298383995296,20,"{'hypervolume': np.float64(6.613535653875299), 'igd': np.float64(0.030545298383995296)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
91,SimAnnealingMulti(1290),18,292,476,6.681596709036519,0.0,6.648780385194906,0.03441370451266515,14,"{'hypervolume': np.float64(6.648780385194906), 'igd': np.float64(0.03441370451266515)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7222222222222222
92,SimAnnealingMulti(1330),18,295,476,6.681596709036519,0.0,6.670689826085389,0.050442262458667404,12,"{'hypervolume': np.float64(6.670689826085389), 'igd': np.float64(0.050442262458667404)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
93,SimAnnealingMulti(1370),18,291,476,6.681596709036519,0.0,6.64292807423442,0.017815166803899326,17,"{'hypervolume': np.float64(6.64292807423442), 'igd': np.float64(0.017815166803899326)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8888888888888888
94,SimAnnealingMulti(1410),18,296,476,6.681596709036519,0.0,6.6403726448013,0.02526537685144302,14,"{'hypervolume': np.float64(6.6403726448013), 'igd': np.float64(0.02526537685144302)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7222222222222222
95,SimAnnealingMulti(1450),18,289,476,6.681596709036519,0.0,6.631809031430802,0.16832684618088958,12,"{'hypervolume': np.float64(6.631809031430802), 'igd': np.float64(0.16832684618088958)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5555555555555556
96,SimAnnealingMulti(1490),18,316,476,6.681596709036519,0.0,6.583875438309221,0.0461925591637398,19,"{'hypervolume': np.float64(6.583875438309221), 'igd': np.float64(0.0461925591637398)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
97,NullDecisionNode,18,476,476,6.681596709036519,0.0,6.681596709036519,0.0,18,"{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",1.0
98,RandomDecisionNode,18,56,476,6.681596709036519,0.0,3.89639156810939,0.5572590256270276,5,"{'hypervolume': np.float64(3.89639156810939), 'igd': np.float64(0.5572590256270276)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.05555555555555555
99,FixedThreshold(1),18,52,476,6.681596709036519,0.0,5.747181467228581,0.3892467253346259,10,"{'hypervolume': np.float64(5.747181467228581), 'igd': np.float64(0.3892467253346259)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5555555555555556
100,FixedThreshold(2),18,0,476,6.681596709036519,0.0,0.0,0.0,0,"{'hypervolume': 0.0, 'igd': 0.0}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.0
101,FixedThreshold(3),18,0,476,6.681596709036519,0.0,0.0,0.0,0,"{'hypervolume': 0.0, 'igd': 0.0}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.0
